"Nazwa firmy","Nazwa skrócona","Ulica, numer",Miasto,"Kod pocztowy","Osoby kontaktowe","Nowe województwo",Powiat,Gmina,"Stare województwo",Telefon(y),Fax(y),"Forma własności","Forma prawna",Email,WWW,Zatrudnienie,"Obrót roczny","Rok założenia","NACE (EKD)",SIC,"Opis działalności"
"Zakład Malarsko-Tapeciarski",,"Palińskiego 11",Wągrowiec,62-842,"Andrzej Brzeziński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2613113,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1983,"
<span>45.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45441%20malowanie%20budynkow"">Malowanie budynków</a>
<span>45.43.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45434%20pokrywanie%20scian%20i%20podlog%20wykladzinami%20z%20tworzyw%20sztucznych"">Pokrywanie ścian i podłóg wykładzinami z tworzyw sztucznych</a>
","<span>1721</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC1721%20malowanie%20i%20tapetowanie"">Malowanie i tapetowanie</a>","


"
"Pałucki Bank Spółdzielczy w Wągrowcu - Oddział","PBS w Wągrowcu - Oddział","Pałucka 4",Wągrowiec,62-124,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2663160,(67)2663164,prywatna,spółdzielnia,,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pdluckibs.pl"">www.pdluckibs.pl</a>",,,1867,"
<span>65.12</span>Banki komercyjne
<span>65.22</span>Udzielanie kredytów (innych niż pożyczki finansowe)
","
<span>6029</span>Banki komercyjne, osobno nie wymienione
<span>6141</span>Udzielanie kredytów konsumpcyjnych dla ludności
",
"Sklep Spożywczo-Przemysłowy",,"Pawłowo Żońskie 89",Wągrowiec,62-734,"Ewa Wziech",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2692794,,prywatna,"zakład prywatny bez formy prawnej",,,1,"200,000 zł.",1995,"
<span>52.24.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52241%20sprzedaz%20detaliczna%20chleba%20i%20innego%20pieczywa"">Sprzedaż detaliczna chleba i innego pieczywa</a>
<span>52.25</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5225%20sprzedaz%20detaliczna%20napojow%20alkoholowych%20i%20bezalkoholowych"">Sprzedaż detaliczna napojów alkoholowych i bezalkoholowych</a>
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>51.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5133%20sprzedaz%20hurtowa%20wyrobow%20mleczarskich%20jaj%20olejow%20i%20tluszczow%20jadalnych"">Sprzedaż hurtowa wyrobów mleczarskich, jaj, olejów i tłuszczów jadalnych</a>
","
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
<span>549902</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC549902%20sklepy%20z%20napojami"">Sklepy z napojami</a>
<span>5921</span>Sklepy monopolowe
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>5451</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5451%20sklepy%20mleczarskie"">Sklepy mleczarskie</a>
","


"
"Dojazdowy Punkt Lekarski",,"Pawłowo Żońskie 12",Wągrowiec,62-843,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2622720,,prywatna,"zakład prywatny bez formy prawnej",,,,,,"
<span>85.12.6</span>Prywatne praktyki lekarskie
<span>85.13</span>Praktyka stomatologiczna
","
<span>801199</span>Gabinety lekarskie, osobno nie wymienione
<span>802101</span>Specjalistyczne praktyki stomatologiczne
","


"
"Sklep Spożywczo-Przemysłowy Marek Ćwik",,"Pawłowo Żońskie 12",Wągrowiec,62-733,"Marek Ćwik",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2622725,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1994,"
<span>52.27</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5227%20sklepy%20spozywcze"">Sklepy spożywcze</a>
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>64.11</span>Poczta państwowa
","
<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>4311</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC4311%20poczta%20polska"">Poczta Polska</a>
","
agencja pocztowa

"
"Elektromechanika Chłodnicza",,"Piaskowa 2",Wągrowiec,62-452,"Ryszard Smykowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2642344,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1990,"<span>29.23</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2923%20produkcja%20urzadzen%20chlodniczych%20i%20wentylacyjnych%20z%20wyjatkiem%20domowych"">Produkcja urządzeń chłodniczych i wentylacyjnych, z wyjątkiem domowych</a>","<span>7623</span>Serwis lodówek i sprzętu chłodniczego","
serwis urządzeń chłodniczych
serwis urządzeń wentylacyjnych

"
Delikatesy,,"Pocztowa 1",Wągrowiec,62-844,"Ewa Sałacka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2694793,,prywatna,"zakład prywatny bez formy prawnej",,,4,,1992,"<span>52.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5211%20sprzedaz%20detaliczna%20w%20nie%20wyspecjalizowanych%20sklepach%20z%20przewaga%20zywnosci%20napojow%20i%20wyrobow%20tytoniowych"">Sprzedaż detaliczna w nie wyspecjalizowanych sklepach z przewagą żywności, napojów i wyrobów tytoniowych</a>","<span>541199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC541199%20sklepy%20spozywcze%20osobno%20nie%20wymienione"">Sklepy spożywcze, osobno nie wymienione</a>","
artykuły spożywcze

"
"Sklep Obuwniczy Traper",,"Pocztowa 2",Wągrowiec,62-233,"Justyna Rybacka-Zielińska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(509)120128,,prywatna,"zakład prywatny bez formy prawnej",,,1,,1994,"<span>52.43.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52431%20sprzedaz%20detaliczna%20obuwia"">Sprzedaż detaliczna obuwia</a>","<span>5661</span>Sklepy z obuwiem","


"
"Sklep Odzieżowy Texas",,"Pocztowa 4",Wągrowiec,62-344,"Krzysztof Strzesak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2665366,(67)2665366,prywatna,"zakład prywatny bez formy prawnej",,,2,,1991,"<span>52.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52421%20sprzedaz%20detaliczna%20odziezy"">Sprzedaż detaliczna odzieży</a>","<span>5651</span>Sklepy z odzieżą męską, damską i dziecięcą",
"Sklep Wielobranżowy Chemiczno-Papierniczy",,"Pocztowa 3-5",Wągrowiec,62-622,"Marek Włodarczyk",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2674975,(67)2674975,prywatna,"zakład prywatny bez formy prawnej",,,2,"200,000 zł.",1991,"
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>52.47.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52473%20sprzedaz%20detaliczna%20artykulow%20pismiennych"">Sprzedaż detaliczna artykułów piśmiennych</a>
","
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>5943</span>Sklepy papiernicze
",
"Sklep Odzieżowy ADAM",,"Pocztowa 2",Wągrowiec,62-513,"wł. Halina Adamowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2680085,,prywatna,"zakład prywatny bez formy prawnej",,,1,,,"<span>52.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52421%20sprzedaz%20detaliczna%20odziezy"">Sprzedaż detaliczna odzieży</a>","<span>5651</span>Sklepy z odzieżą męską, damską i dziecięcą","


"
"Zakład Fryzjerski Max",,"Pocztowa 2",Wągrowiec,62-123,"Grażyna Kaniewska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2620627,,prywatna,"zakład prywatny bez formy prawnej",,,5,,1938,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie",
"Usługi i Handel Rex",,"Pocztowa 4",Wągrowiec,62-514,"Zofia Konopacka",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2660865,(67)2660865,prywatna,"zakład prywatny bez formy prawnej",,,5,,,"
<span>52.33</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5233%20sprzedaz%20detaliczna%20kosmetykow%20i%20artykulow%20toaletowych%20i%20srodkow%20czystosci%20chemii%20gospodarczej"">Sprzedaż detaliczna kosmetyków i artykułów toaletowych i środków czystości (chemii gospodarczej)</a>
<span>52.47.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52473%20sprzedaz%20detaliczna%20artykulow%20pismiennych"">Sprzedaż detaliczna artykułów piśmiennych</a>
","
<span>599913</span>Kosmetyki i przybory toaletowe, handel detaliczny
<span>5943</span>Sklepy papiernicze
",
"Bar Siódemka",,"Pocztowa 5",Wągrowiec,62-513,"mgr inż. Maria Skrzypczak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2650350,(67)2650350,prywatna,"zakład prywatny bez formy prawnej",,,1,"50,000 zł.",1992,"<span>55.41</span>Jadłodajnie, bary uniwersalne, szybkiej obsługi, przekąskowe, mleczne, bistra","<span>581203</span>Punkty gastronomiczne i bary szybkiej obsługi","


"
"Serwis Audio-Video Avis S.C.","Avis S.C.","Pocztowa 3",Wągrowiec,62-012,"Roman Herman",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2677075,,prywatna,"spółka cywilna",,,3,,1990,"
<span>52.45.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52453%20sprzedaz%20detaliczna%20plyt%20i%20tasm%20z%20nagraniami%20muzycznymi%20i%20video"">Sprzedaż detaliczna płyt i taśm z nagraniami muzycznymi i video</a>
<span>52.45.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52452%20sprzedaz%20detaliczna%20sprzetu%20radiowo%20telewizyjnego"">Sprzedaż detaliczna sprzętu radiowo-telewizyjnego</a>
<span>52.72.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52721%20naprawy%20artykulow%20radiowo%20telewizyjnych"">Naprawy artykułów radiowo-telewizyjnych</a>
","
<span>5735</span>Sklepy z płytami i nagraniami audio i video
<span>506503</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC506503%20czesci%20elektroniczne%20hurt"">Części elektroniczne, hurt</a>
","


"
"Zakład Zegarmistrzowski",,"Pocztowa 34",Wągrowiec,62-452,"Rafał Odrobiński",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(502)077976,,prywatna,"zakład prywatny bez formy prawnej",,,1,"50,000 zł.",1992,"
<span>52.73</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5273%20naprawy%20zegarkow%20zegarow%20i%20bizuterii"">Naprawy zegarków, zegarów i biżuterii</a>
<span>52.48.41</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524841%20sprzedaz%20detaliczna%20zegarkow"">Sprzedaż detaliczna zegarków</a>
<span>52.48.42</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524842%20sprzedaz%20detaliczna%20wyrobow%20jubilerskich"">Sprzedaż detaliczna wyrobów jubilerskich</a>
","
<span>763101</span>Naprawa czasomierzy
<span>594401</span>Sklepy zegarmistrzowskie
<span>594499</span>Sklepy jubilerskie, osobno nie wymienione
","
naprawy zegarków
sprzedaż zegarków, bizuterii

"
"Bank Zachodni WBK S.A. - I Oddział w Wągrowcu","Bank Zachodni WBK S.A.","Pocztowa 12",Wągrowiec,62-234,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2696493,(67)2696492,prywatna,"spółka akcyjna",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.bzwbk.pl"">www.bzwbk.pl</a>",,,,"
<span>65.12</span>Banki komercyjne
<span>65.22</span>Udzielanie kredytów (innych niż pożyczki finansowe)
","<span>6029</span>Banki komercyjne, osobno nie wymienione","


"
"Bank Pocztowy S.A. w Bydgoszczy - Punkt Obsługi Klientów w Wągrowcu","BP S.A. Punkt Obsługi Klientów","Pocztowa 23",Wągrowiec,62-343,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2685284 (808)180580",(67)2685284,"Skarb Państwa","spółka akcyjna","<a title=""@bp.com.pl"">informaeja</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pocztowy.pl"">www.pocztowy.pl</a>",,,,"
<span>65.12</span>Banki komercyjne
<span>65.22</span>Udzielanie kredytów (innych niż pożyczki finansowe)
","
<span>6021</span>Ogólnokrajowe państwowe banki komercyjne
<span>6141</span>Udzielanie kredytów konsumpcyjnych dla ludności
",
"Przedsiębiorstwo Handlowe ELEKTRO-DOM Julian Dominiak - Sklep - Konsorcjum ELMEGA","PH ELEKTRO-DOM - Sklep","Pocztowa 12",Wągrowiec,62-454,"Julian Dominiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2633230,(67)2633230,prywatna,"zakład prywatny bez formy prawnej",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.hlektro-dom.eu"">www.hlektro-dom.eu</a>",3,,1994,"<span>52.44.2</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52442%20sprzedaz%20detaliczna%20sprzetu%20oswietleniowego"">Sprzedaż detaliczna sprzętu oświetleniowego</a>","<span>571902</span>Lampy, oświetlenie, akcesoria, handel detaliczny","
artykuły elektrotechniczne, oświetleniowe

"
"Computex S.J.",,"Powstańców Wielkopolskich 3",Wągrowiec,62-734,"
mgr inż. Tomasz Muszyński
Wódzimierz Kamiński
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2634130,(67)2634130,prywatna,"spółka jawna",,,3,,1991,"
<span>52.48.11</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524811%20sprzedaz%20detaliczna%20artykulow%20i%20sprzetu%20biurowego"">Sprzedaż detaliczna artykułów i sprzętu biurowego</a>
<span>52.48.12</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524812%20sprzedaz%20detaliczna%20komputerow%20i%20sprzetu%20komputerowego"">Sprzedaż detaliczna komputerów i sprzętu komputerowego</a>
<span>52.48.13</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524813%20sprzedaz%20detaliczna%20oprogramowania%20komputerowego"">Sprzedaż detaliczna oprogramowania komputerowego</a>
<span>72.2</span>Doradztwo w zakresie oprogramowania i dostarczanie oprogramowania
<span>72.6</span>Działalność związana z informatyką
","
<span>5734</span>Sklepy komputerowe
<span>599914</span>Sprzęt biurowy, maszyny do pisania, handel detaliczny
<span>599906</span>Telefony i sprzęt łącznościowy, handel detaliczny
<span>7371</span>Usługi programistyczne
<span>737902</span>Konsultacje i porady komputerowe
","
komputery
sprzęt biurowy
sprzęt telekomunikacyjny
oprogramowanie komputerowe
usługi programistyczne, doradztwo komputerowe
"
"Sklep z Wykładzinami Arka",,"Powstańców Wielkopolskich 3",Wągrowiec,62-013,"
Arkadiusz Zimny
kier. Krzysztof Zawieruszyński
",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2685381,(67)2685381,prywatna,"zakład prywatny bez formy prawnej","<a title=""@o2.pl"">arka2k</a>",,2,,1996,"
<span>52.48.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52483%20sprzedaz%20detaliczna%20tapet%20wykladzin%20podlogowych"">Sprzedaż detaliczna tapet, wykładzin podłogowych</a>
<span>52.48.51</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE524851%20sprzedaz%20detaliczna%20artykulow%20sportowych"">Sprzedaż detaliczna artykułów sportowych</a>
<span>50.42</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5042%20sprzedaz%20czesci%20i%20akcesoriow%20do%20motocykli%20i%20motorowerow"">Sprzedaż części i akcesoriów do motocykli i motorowerów</a>
","
<span>5713</span>Sklepy z dywanami i wykładzinami podłogowymi
<span>594199</span>Sklepy sportowe i rowerowe, osobno nie wymienione
","
wykładziny dywanowe
wykładziny PCW
rowery
"
"Naprawa Przedmiotów Zabytkowych i Artystycznych",,"Powstańców Wielkopolskich 34",Wągrowiec,62-734,"Tadeusz Michalski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2662663 (506)364164",,prywatna,"zakład prywatny bez formy prawnej","<a title=""@op.pl"">michta1</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.tadeuszmichalski.prv.pl"">www.tadeuszmichalski.prv.pl</a>",1,,1958,"<span>92.52.5</span>Ochrona zabytków","
<span>179905</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC179905%20czyszczenie%20elewacji"">Czyszczenie elewacji</a>
<span>871199</span>Usługi inżynierskie, osobno nie wymienione
<span>764102</span>Naprawa i konserwacja mebli
",
"""Pinco"" Meble dla Gastronomii","""Pinco""","Powstańców Wielkopolskich 23",Wągrowiec,62-953,"Agnieszka Pinkowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2652355 (605)251055 (695)656956",(67)2652355,prywatna,"zakład prywatny bez formy prawnej","<a title=""@wp.pl"">agnieszka.pinkowska</a>","<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.pinco.com.pl"">www.pinco.com.pl</a>",,,,"<span>52.44.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52441%20sprzedaz%20detaliczna%20mebli%20i%20umeblowania"">Sprzedaż detaliczna mebli i umeblowania</a>","
<span>571202</span>Meble na zamówienie i umeblowanie zawodowe, handel detaliczny
<span>502199</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC502199%20meble%20osobno%20nie%20wymienione%20hurt"">Meble, osobno nie wymienione, hurt</a>
",
Tafun,,"Poznańska 1",Wągrowiec,62-123,"Witalis Hermański",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2623021,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1982,"
<span>52.42</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE5242%20sprzedaz%20detaliczna%20odziezy%20i%20dodatkow%20do%20ubran"">Sprzedaż detaliczna odzieży i dodatków do ubrań</a>
<span>52.42.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52421%20sprzedaz%20detaliczna%20odziezy"">Sprzedaż detaliczna odzieży</a>
","
<span>5611</span>Sklepy z odzieżą i akcesoriami męskimi
<span>5621</span>Sklepy z odzieżą damską
","odzież wierzchnia"
"Usługi Transportowe",,"Poznańska 23/23",Wągrowiec,62-234,"Kazimierz Biernat",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2633033 (603)236830",,prywatna,"zakład prywatny bez formy prawnej",,,1,,,"<span>60.24.1</span>Przewożenie samochodami ciężarowymi wszystkich rodzajów towarów","<span>421299</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC421299%20lokalne%20przewozy%20ciezarowe%20bez%20skladowania%20osobno%20nie%20wymienione"">Lokalne przewozy ciężarowe, bez składowania, osobno nie wymienione</a>",
"Niepubliczny Zakład Opieki Zdrowotnej Ośrodek Pielęgniarsko-Położniczy Medycyny Środowiskowo-Rodzinnej Zdrowie S.C.","NZOZ Zdrowie S.C.","Przemysława 34/12",Wągrowiec,62-513,"kier. Małgorzata Barańska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2657650,,prywatna,"spółka cywilna","<a title=""@wp.pl"">zdrowie15</a>",,,,1999,"
<span>85.12.1</span>Przychodnie ogólne
<span>85.14.1</span>Działalność akuszerek i pielęgniarek
","
<span>801102</span>Przychodnie ogólne
<span>804905</span>Usługi pielęgniarskie i asysta medyczna
","


"
Geokomplex,,"Przemysłowa 1",Wągrowiec,62-624,"Piotr Wyrzykowski",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2630137 (503)035135",,prywatna,"zakład prywatny bez formy prawnej","<a title=""@wp.pl"">geokoplex</a>",,3,"50,000 zł.",1993,"<span>74.23.3</span>Działalność geodezyjno-kartograficzna, sporządzanie map itp. działalność związana z pomiarami Ziemi","<span>8713</span>Usługi geodezyjne",
"Zakład Poligraficzny",,"Przemysłowa 1",Wągrowiec,62-232,"Edward Stachowiak",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2643549,,prywatna,"zakład prywatny bez formy prawnej",,,3,,1999,"
<span>22.22</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE2222%20poligrafia%20bez%20druku%20gazet"">Poligrafia (bez druku gazet)</a>
<span>22.22.86</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE222286%20druk%20materialow%20reklamowych"">Druk materiałów reklamowych</a>
<span>74.41</span>Projektowanie reklam wszelkiego typu
","
<span>2752</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC2752%20komercyjny%20druk%20litograficzny"">Komercyjny druk litograficzny</a>
<span>275903</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC275903%20druk%20reklam"">Druk reklam</a>
<span>733699</span>Komercyjne projektowanie graficzne i plastyczne, osobno nie wymienione
",
"Zakład Usług Melioracyjnych Dren",Dren,"Przemysłowa 1/3",Wągrowiec,62-512,"Artur Dąbrowicz",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2643248,,prywatna,"zakład prywatny bez formy prawnej","<a title=""@neostrada.pl"">drenast</a>",,8,,1991,"
<span>45.24.3</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45243%20budowa%20systemow%20melioracyjnych%20rolnych%20i%20lesnych"">Budowa systemów melioracyjnych rolnych i leśnych</a>
<span>45.24.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45244%20budowa%20systemow%20wodociagowych"">Budowa systemów wodociągowych</a>
<span>45.24.5</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45245%20budowa%20systemow%20kanalizacyjnych"">Budowa systemów kanalizacyjnych</a>
<span>45.33.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45331%20zakladanie%20instalacji%20i%20urzadzen%20hydraulicznych%20i%20sanitarnych"">Zakładanie instalacji i urządzeń hydraulicznych i sanitarnych</a>
<span>45.11.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE45114%20roboty%20ziemne"">Roboty ziemne</a>
","
<span>162303</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC162303%20budowa%20wodociagow%20i%20kanalizacji"">Budowa wodociągów i kanalizacji</a>
<span>162904</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC162904%20roboty%20ziemne"">Roboty ziemne</a>
<span>171102</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC171102%20zakladanie%20instalacji%20hydraulicznych"">Zakładanie instalacji hydraulicznych</a>
","
instalacje sanitarne, kanalizacyjne, melioracyjne

"
"GS Samopomoc Chłopska - Sklep z Artykułami Metalowymi",,"Przemysłowa 1",Wągrowiec,62-012,,wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2610219,,"państwowa osoba prawna",spółdzielnia,,,3,,1966,"
<span>52.46.4</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52464%20sprzedaz%20detaliczna%20materialow%20i%20sprzetu%20dla%20majsterkowiczow"">Sprzedaż detaliczna materiałów i sprzętu dla majsterkowiczów</a>
<span>52.46.1</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-NACE52461%20sprzedaz%20detaliczna%20drobnych%20wyrobow%20metalowych"">Sprzedaż detaliczna drobnych wyrobów metalowych</a>
","
<span>521103</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC521103%20materialy%20instalacyjne%20i%20konserwacyjne%20handel%20detaliczny"">Materiały instalacyjne i konserwacyjne, handel detaliczny</a>
<span>5251</span><a style=""color:black;text-decoration:none;"" href=""http://www.teleadreson.pl/-SIC5251%20sklepy%20metalowe"">Sklepy metalowe</a>
","


"
"Zakład Ubezpieczeń Społecznych - Oddział w Pile - Inspektorat w Wągrowcu","ZUS - Oddział w Pile - Inspektorat w Wągrowcu","Przemysłowa 12",Wągrowiec,62-012,"kier. Urszula Bentkowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,"(67)2641443 4624994 (401)404404 (401)414414",(67)2647045,"Skarb Państwa","państwowa jednostka organizacyjna",,"<a href=""http://www.teleadreson.pl/url/?k=6&amp;r=http://www.zus.pl"">www.zus.pl</a>",,,,"<span>75.3</span>Gwarantowana prawnie opieka socjalna","<span>632101</span>Instytucje ubezpieczeniowe od wypadków i zdrowotne",
"Salon Fryzjerski Lidka",,"Przemysłowa 12",Wągrowiec,62-952,"Lidia Szczepanowska",wielkopolskie,wągrowiecki,"Wągrowiec m.",pilskie,(67)2648148,,prywatna,"zakład prywatny bez formy prawnej",,,2,,1996,<span>93.02.1</span>Fryzjerstwo,"<span>7241</span>Salony fryzjerskie",
